Club name,club_email
Anchorage Running Club,melanie@ancrun.org
Prince of Wales Runners Club,info@powmarathon.org
Running Club North,rtstrandberg@alaska.edu
Kachemak Bay Running Club,northwiest@gmail.com
Juneau Trail & Road Runners,juneautrailroadr@gmail.com
Ketchikan Running Club,ktnrunningclub@gmail.com
MatSu Running Club,knopp@mtaonline.net
Anniston Runners Club,treasurer@annistonrunners.com
Walk Jog Run Club/Civil Rights Race Series,raynard@wjrclub.com
Auburn-Opelika Running and Track Association,aortatreasurer@gmail.com
Birmingham Track Club,treasurer@birminghamtrackclub.com
Bay Area Runners,swilder@bcbe.org
River City Runners,jklca5@att.net
Al Lawrence Running Club USA,allawrencerunningclub@juno.com
Fleet Feet HSV-MAD Running Club,suzanne@fleetfeethuntsville.com
Huntsville Track Club,membership@huntsvilletrackclub.org
River Region Runners,riverregionrunners@gmail.com
Lower Alabama Fleet Feet Run Club,laffrunclub@gmail.com
Tuscaloosa Track Club,tammydensonpls@bellsouth.net
Arkadelphia Running Club,hdnicole@yahoo.com
Cabot Country Cruisers,cabotcountrycruisers@gmail.com
Saline County Striders,chris.blu.hall@gmail.com
Conway Running Club,harris_mark_a@icloud.com
Women Run Arkansas,jujub75@yahoo.com
Team Run Flagstaff,info@teamrunflagstaff.com
Western Arkansas Runners,sherinic624@gmail.com
Melonvine Striders,still1@sbcglobal.net
Arkansas Spa Pacers Association,jerrywhite1970@gmail.com
Fun Arkansas Run Team,runnersfart@gmail.com
Hot Legs Road Runners Club,hotlegsrunforfun@gmail.com
Little Rock Roadrunners Club,littlerockroadrunners@gmail.com
Arkansas Running Klub,arkjoe10@gmail.com
Arkansas Ultra Running Association,mverunnergirl@gmail.com
Blue Rose Running,logan@bluerosephysicaltherapy.com
River Valley Runners (AR 879),mwwitt01@gmail.com
Runnersville Ladies,runnersvilleladies@gmail.com
Searcy Rush,searcyrush@gmail.com
Thunder Mountain Running Club,blakely44@msn.com
East Valley Runners,eastvalleyrunners@gmail.com
"NAZ Elite, Inc",emma@nazelite.com
Phoenix Free Soles,bernacchi.brett@gmail.com
San Tan Trail Runners,finance@santantrailrunners.org
Tucson Trail Runners LLC,ttrarizona@gmail.com
Frontrunners and Front Walkers Phoenix,phxfrontrunners@gmail.com
Run For Change,denise@run-for-change.com
Phoenix Run Club Inc,phxrunclub@gmail.com
Run Tucson,randy@runtucson.net
Southern Arizona Roadrunners,sar_office@yahoo.com
Six Rivers Running Club,ygk1@humboldt.edu
Team IBProFUN,teamibprofun@gmail.com
Benicia Run Club,howdy@beniciarunclub.com
Santa Cruz Track Club,chris.nestlerode@gmail.com
Big Sur Marathon Foundation Youth Club,josh@bsim.org
Sierra Trailblazers Running Club,kpietak@ocesd.net
Chico Running Club,chicorcmembership@gmail.com
Chico Track Club DBA Chico Striders,chicostriders@gmail.com
Yosemite Running Club,wynonalogan1@gmail.com
So Cal Pacers,craig_sunada@yahoo.com
"Sierra Challenge Express, Inc.",runsierrachallenge@gmail.com
Inland Empire Running Club,karen@ierunningclub.com
Golden Valley Harriers,info@goldenvalleyharriers.org
Palo Alto Run Club,kylebrocklehurst@gmail.com
San Diego Ultra Running Friends (SURF),jhooker@sdultrarunning.com
UltraLadies aka Trail Run Events,trailrunevents@yahoo.com
Pelican Inn Track Club,samlueck@gmail.com
North County Roadrunners,joecrosswhite13@gmail.com
Beach Cities Road Runners,mbosinski76@gmail.com
South Coast Roadrunners,southcoastroadrunners@gmail.com
Lake Merritt Joggers and Striders,jeanineb4holmlund@gmail.com
"High Desert Runners, Inc.",jrmitch85@gmail.com
Loma Linda Lopers Running and Fitness Club,finance@lopersclub.org
Lompoc Valley Distance Club,lompocvalleydistanceclub@gmail.com
A Running Experience Club,donarunner@gmail.com
Shoreline Frontrunners of Long Beach,treasurer@sfrlb.com
Team Runners High,bobrice4@verizon.net
The Mighty Youth Runners,jentellefsen@gmail.com
"Los Angeles Running Club, Inc.",info@larunningclub.com
ASICS Mammoth Track Club,andrew@coachkastor.com
South Bay Runners,michael@southbayrunners.org
Born to Adapt,zfriedley@gmail.com
Merced Running Club,kogutr@gmail.com
Bay Area Ultrarunners,sjaber@pacbell.net
Dipsea Race Foundation,monikafarrar@icloud.com
Dusty Bottoms Trail Runnerrs,info@dbtrailrunners.com
Modesto Moves,uopmason@sbcglobal.net
ShadowChase Running Club,info@shadowchase.org
Moreno Valley Running Club,mvrrc@hotmail.com
Sierra Gold,druemathies@gmail.com
Future Track Running Club,futuretrackrunningpack@gmail.com
Trail Runners Club,kategalbraith@mac.com
"Tamalpa Runners, Inc.",paul@herrerias.com
East Bay Front Runners and Walkers,ebfrw@yahoo.com
Women’s Run Club East Bay,wrc.eastbay@gmail.com
Inside Track Running Club,sue.francis@sbcglobal.net
Pacifica Runners,pacificarunners@gmail.com
Palm Springs Front Runners & Walkers,markdeangelis@gmail.com
Palo Alto Pacers,kathryn.kirby@gmail.com
Strides in Recovery,leslie.gold@stridesinrecovery.org
Pacer Nation Incorporated D.B.A. Pasadena Pacers,carolr.pasadenapacers@gmail.com
Wolf Pack Runners,wolvespackrunning@gmail.com
